search_result_number,Search_Result_Title,Search_Result_URL,Search_Result_Description
1,Breaking News Latest Updates Highlights of March 24,https://english.jagran.com/india/breaking-news-latest-updates-march-24-live-top-news-india-world-sports-entertainment-bollywood-business-assembly-polls-2021-farmers-protest-coronavirus-restrictions-lockdown-night-curfew-10024819,"... we at English Jagran focus on all the top news of the day to give our ... Enforcement Directorate officials by Crime Branch until Tuesday In its FIR, Crime ... 8:10 am: J&K: Indian Army in collaboration with a Delhi-based NGO ..."
2,Breaking News March 25 LIVE: Suspended Mumbai Police officer Sachin Waze produced before Special NIA Court,https://english.jagran.com/india/breaking-news-latest-updates-march-25-live-top-news-india-world-sports-entertainment-bollywood-business-assembly-polls-2021-farmers-protest-coronavirus-restrictions-lockdown-night-curfew-10024855,11;30 am; Permanent commission for women officers in Indian Army ... an encounter with Delhi Police Crime Branch near Pragati Maidan area.
3,New book uncovers Indian mystery probed by Sherlock Holmes author,https://indianexpress.com/article/books-and-literature/new-book-uncovers-indian-mystery-probed-by-sherlock-holmes-author-7208061/,"... accused of a series of mysterious crimes in an English village in the early 20th century. The story of that Indian-origin barrister, George Edalji, ..."
4,Indian Railway issues guidelines to prevent crime against ...,https://english.lokmat.com/national/indian-railway-issues-guidelines-to-prevent-crime-against-women/,The Indian Railways on Saturday issued guidelines to prevent crime against women in trains and on railway premises. According to the ...
5,Netflix v Modi and the battle for Indian cinema’s soul,https://www.technologyreview.com/2021/03/24/1021139/netflix-india-modi-kashyap-sacred-games-censorship/,"As an assistant director shouted out instructions in Hindi and English, ... Another Netflix show, Delhi Crime, won an international Emmy for best ..."
6,Chicago City Council rejects misleading resolution critical of ...,https://english.lokmat.com/international/chicago-city-council-rejects-misleading-resolution-critical-of-indian-govt-caa-us-india-friendship/,"According to a statement from the US-India Friendship Council, the ... Mittal also opined that with the bigger crime issue - following the deadly ..."
7,Indian rooster kills owner during cockfight,https://www.aljazeera.com/news/2021/2/28/indian-rooster-kills-owner-during-cockfight,"Thousands of roosters die each year in the battles which, despite the efforts of animal rights groups, attract large crowds. The killer rooster was ..."
8,"Breaking News, Latest Updates Highlights of February 26",https://english.jagran.com/india/breaking-news-latest-updates-february-26-live-top-news-india-world-sports-entertainment-bollywood-business-pm-modi-coronavirus-bharat-bandh-assembly-polls2021-10023849,"In time of COVID-19, India hasn't only made a new path but helped ... Crime Intelligence Unit of Mumbai Police Crime Branch on February 27 to ..."
9,"Breaking News Latest Updates, Highlights of March 5",https://english.jagran.com/india/breaking-news-latest-updates-march-5-live-top-news-india-world-sports-entertainment-bollywood-business-pm-modi-covid19-vaccination-assembly-polls2021-10024096,"Thus at English Jagran, we provide our readers with 360-degree coverage in all ... 12:00 pm: 4th Test, Day 2: India 80/4 (Rohit Sharma 32*) against ... 7:53 am: Bengaluru: Central Crime Branch has arrested a Nigerian drug ..."
10,Lucy Hale to star in AMC crime drama 'Ragdoll',https://www.newindianexpress.com/entertainment/english/2021/mar/13/lucy-hale-to-star-in-amc-crime-dramaragdoll-2276132.html,"LOS ANGELES: ""Katy Keene"" star Lucy Hale is set to feature in an upcoming crime series, titled ""Ragdoll"". The six-episode show, which hails ..."
11,"Falsely accused of rape, UP man freed after spending 20 years in jail",https://www.newindianexpress.com/nation/2021/mar/03/falsely-accused-of-rape-up-man-freed-after-spending20-years-in-jail-2271749.html,"He walked out of Agra Central Jail on Wednesday evening. Ironically, Vishnu Tiwari, now 43, was jailed when he was 23 for a crime he never ..."
12,"UP Horror: Man beheads 17-year-old daughter in a fit of rage, walks to police station with it; arrested",https://english.jagran.com/india/up-horror-man-beheads-17yearold-daughter-in-a-fit-of-rage-walks-to-police-station-with-it-arrested-10024059,"Meanwhile, Uttar Pradesh is at the top of the list of crimes against women in 2019, the data released by the National Crime Record Bureau in ..."
13,Here are five unsolved true crime stories that still continue to riddle Kochi police,https://www.newindianexpress.com/cities/kochi/2020/oct/28/here-are-five-unsolved-true-crime-stories-that-still-continue-to-riddle-kochi-police-2215723.html,"KOCHI: Crime and murders are quite common in Kochi, and the city ... as 47-year-old Shakunthala Damodharan, native of Udayamperoor."
14,Explained: How International Emmy winner ‘Delhi Crime’ came into being,https://indianexpress.com/article/explained/delhi-crime-international-emmy-award-richie-mehta-explained-7064835/,"At the 48th International Emmy Awards, Delhi Crime was awarded the 'Best Drama'. ... The verdict had just come out, and I happened to be in India when ... and the Spanish telenovela La Reina del Sur for the Non-English US ..."
15,"Breaking News, Latest Updates Highlights of February 7",https://english.jagran.com/india/breaking-news-latest-updates-february-7-live-top-news-india-world-sports-entertainment-bollywood-business-pm-modi-covid19-crisis-west-bengal-assembly-polls-10023171,"New Delhi | Jagran News Desk: At Jagran English, we try to cover all the ... Revival of left meant revival of corruption, crime, violence, and attacks on ... 16:47 pm: India will give a befitting reply to those conspiring against it, ..."
16,"Explained: Who is Shabnam, the first woman who could be hanged since 1947?",https://indianexpress.com/article/explained/explained-the-case-of-amrohas-shabnam-the-first-woman-likely-to-hanged-after-independence-7195194/,"... will be the first woman in independent India to be hanged for a crime. ... A post-graduate in two subjects, English and Geography, she worked ..."
17,"Breaking News, Latest Updates Highlights of February 13",https://english.jagran.com/india/breaking-news-latest-updates-february-13-live-top-news-india-world-sports-entertainment-bollywood-business-pm-modi-rahul-gandhi-covid19-west-bengal-polls-10023391,"New Delhi | Jagran News Desk: We at English Jagran focus on all ... 15:50 pm: Mumbai Police Crime Branch arrested a person in ... More than 250 plus were added in January, more will be added gradually: Indian Railways."
18,"Coronavirus: Street crime, cyber fraud on the rise in India",https://www.dw.com/en/india-coronavirus-crime/a-54198329,"Coronavirus: Street crime, cyber fraud on the rise in India. The COVID-19 pandemic has taken a heavy toll on India's economy. Due to an ..."
19,Shabnam - first woman to be hanged in independent India. Here's the story of her horrific crime,https://www.indiatvnews.com/news/india/first-woman-execution-mathura-jail-shabnam-saleem-amroha-murder-case-685538,Here's the story of her horrific crime. Saleem and Shabnam were having an affair and wanted to get married but their relationship met with stiff ...
20,"Netflix, Amazon woo viewers in India with offbeat television",https://www.dw.com/en/netflix-amazon-woo-viewers-in-india-with-offbeat-television/a-56309296,"Delhi Crime, another Netflix show, goes further, crafting its script using ... In addition to shows in Hindi and English, Amazon and Netflix are also ..."
21,"Mumbai: 'Savdhaan India' actor arrested for robbing people by posing as cop, handed over to Dehradun Police",https://english.jagran.com/india/mumbai-savdhaan-india-actor-arrested-for-robbing-elderly-people-by-posing-as-cop-dehradun-police-gets-transit-remand-10021193,New Delhi | Jagran News Desk: Mumbai Crime Branch has arrested a 40-year-old TV actor for allegedly robbing elderly persons by posing as ...
